Year,Award,Winner,Name,Film
1928,Actor in a Leading Role,1,Emil Jannings,The Last Command
1929,Actor in a Leading Role,0,Chester Morris,Alibi
1929,Actress in a Leading Role,0,Betty Compson,The Barker
1929,Actress in a Leading Role,0,Bessie Love,The Broadway Melody
1931,Actor in a Leading Role,0,Adolphe Menjou,The Front Page
1981,Actor in a Supporting Role,0,"Howard E. Rollins, Jr.",Ragtime
1996,Actor in a Supporting Role,1,"Cuba Gooding, Jr.",Jerry Maguire
1982,Actor in a Supporting Role,1,"Louis Gossett, Jr.",An Officer and a Gentleman
1984,Actor in a Supporting Role,0,Adolph Caesar,A Soldier's Story
2006,Actress in a Supporting Role,0,Abigail Breslin,Little Miss Sunshine
1931,Actress in a Leading Role,0,Ann Harding,Holiday
1932,Actor in a Leading Role,0,Alfred Lunt,The Guardsman
1936,Actor in a Supporting Role,0,Akim Tamiroff,The General Died at Dawn
1942,Actress in a Supporting Role,0,Agnes Moorehead,The Magnificent Ambersons
2002,Actor in a Leading Role,1,Adrien Brody,The Pianist
2006,Actress in a Supporting Role,0,Adriana Barraza,Babel
1964,Actress in a Supporting Role,0,Agnes Moorehead,"Hush...Hush, Sweet Charlotte"
1940,Actor in a Supporting Role,0,Albert Basserman,Foreign Correspondent
1966,Actor in a Leading Role,0,Alan Arkin,The Russians Are Coming The Russians Are Coming
1972,Actor in a Supporting Role,0,Al Pacino,The Godfather
1992,Actor in a Supporting Role,0,Al Pacino,Glengarry Glen Ross
2004,Actor in a Supporting Role,0,Alan Alda,The Aviator
2006,Actor in a Supporting Role,1,Alan Arkin,Little Miss Sunshine
2012,Actor in a Supporting Role,0,Alan Arkin,Argo
1968,Actor in a Leading Role,0,Alan Arkin,The Heart Is a Lonely Hunter
1968,Actor in a Leading Role,0,Alan Bates,The Fixer
1944,Actor in a Leading Role,0,Alexander Knox,Wilson
1952,Actor in a Leading Role,0,Alec Guinness,The Lavender Hill Mob
1963,Actor in a Leading Role,0,Albert Finney,Tom Jones
1987,Actor in a Supporting Role,0,Albert Brooks,Broadcast News
2000,Actor in a Supporting Role,0,Albert Finney,Erin Brockovich
1984,Actor in a Leading Role,0,Albert Finney,Under the Volcano
1988,Actor in a Supporting Role,0,Alec Guinness,Little Dorrit
2003,Actor in a Supporting Role,0,Alec Baldwin,The Cooler
1957,Actor in a Leading Role,1,Alec Guinness,The Bridge on the River Kwai
1983,Actress in a Supporting Role,0,Alfre Woodard,Cross Creek
1936,Actress in a Supporting Role,0,Alice Brady,My Man Godfrey
1970,Actress in a Leading Role,0,Ali MacGraw,Love Story
1937,Actress in a Supporting Role,1,Alice Brady,In Old Chicago
1937,Actress in a Supporting Role,0,Andrea Leeds,Stage Door
1944,Actress in a Supporting Role,0,Aline MacMahon,Dragon Seed
2015,Actress in a Supporting Role,1,Alicia Vikander,The Danish Girl
1983,Actress in a Supporting Role,0,Amy Irving,Yentl
2005,Actress in a Supporting Role,0,Amy Adams,Junebug
2013,Actress in a Leading Role,0,Amy Adams,American Hustle
1985,Actress in a Supporting Role,0,Amy Madigan,Twice in a Lifetime
2007,Actress in a Supporting Role,0,Amy Ryan,Gone Baby Gone
1944,Actress in a Supporting Role,0,Angela Lansbury,Gaslight
1990,Actor in a Supporting Role,0,Andy Garcia,"The Godfather, Part III"
2016,Actor in a Leading Role,0,Andrew Garfield,Hacksaw Ridge
1993,Actress in a Leading Role,0,Angela Bassett,What's Love Got to Do with It
1962,Actress in a Supporting Role,0,Angela Lansbury,The Manchurian Candidate
1985,Actress in a Supporting Role,1,Anjelica Huston,Prizzi's Honor
1999,Actress in a Supporting Role,1,Angelina Jolie,"Girl, Interrupted"
2008,Actress in a Leading Role,0,Angelina Jolie,Changeling
1990,Actress in a Leading Role,0,Anjelica Huston,The Grifters
1936,Actor in a Supporting Role,0,Basil Rathbone,Romeo and Juliet
1937,Actress in a Leading Role,0,Barbara Stanwyck,Stella Dallas
1937,Actress in a Supporting Role,0,Anne Shirley,Stella Dallas
1943,Actress in a Supporting Role,0,Anne Revere,The Song of Bernadette
1946,Actress in a Supporting Role,1,Anne Baxter,The Razor's Edge
1955,Actress in a Leading Role,1,Anna Magnani,The Rose Tattoo
1971,Actress in a Supporting Role,0,Ann-Margret,Carnal Knowledge
1987,Actress in a Supporting Role,0,Ann Sothern,The Whales of August
1975,Actress in a Leading Role,0,Ann-Margret,Tommy
